source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
971156,"How China is Losing Europe.
👉With a clumsy and ugly disinformation campaign, China is trying to project “soft power” as the U.S. loses its cachet. That’s backfiring.
https://t.co/WTLPgW7UIy",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4909}, {'text': 'loses', 'score': 0.341}, {'text': 'disinformation', 'score': 0.2795}]"
78703,"Reports indicate that 50,000 of 1.7 lakh PPE kits from China have failed DRDO quality checks. India will be REJECTING PPE kits which are failing quality checks. Official word from Indian Govt is still awaited.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.3347}, {'text': 'failed', 'score': 0.2338}, {'text': 'kits', 'score': 0.2269}]"
767768,"Modi keep speaking about Bharat Mata and its protection. China captured 1200 sq kms of our land. To protect his own image, He lied to the country that nobody has entered India.
Why is he scared of you people - the media? 👇
https://t.co/51tpj98ePR",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.4114}, {'text': 'india', 'score': 0.3493}, {'text': 'scared', 'score': 0.3319}]"
234044,Flash: US Secretary of state Mike Pompeo reacts on China claiming Bhutanese territory; says cant allow bullying. https://t.co/8K7AbNsEd4,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4587}, {'text': 'bullying', 'score': 0.3338}, {'text': 'secretary', 'score': 0.3101}]"
829846,"Dear Indian youths, this is the right time to create jobs for lakhs of Indians!

59 Chinese Apps are banned &amp; China was earning in Billions from them!

Now show your skills, create fantastic apps, generate employment &amp; earn revenue!

Show the world that India has the best brains!",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4532}, {'text': 'generate', 'score': 0.2504}, {'text': 'banned', 'score': 0.2215}]"
4263845,China's COVID-19 Outbreak Grows Ahead Of Beijing 2022 Winter Olympics https://t.co/LheiX9c9SM https://t.co/SIYKEZsnKX,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.425}, {'text': 'outbreak', 'score': 0.3914}, {'text': '2022', 'score': 0.3028}]"
2224255,"Twitter is banned in China

Yet Twitter restricted account of New Zealand academic who mocked Chinese President Xi Jinping

But it is not ready time follow indian laws. Why?",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4339}, {'text': 'banned', 'score': 0.3176}, {'text': 'time', 'score': 0.1172}]"
4997678,"#China on the Grip of Fear: Talking about Nuclear War:
#ChinaGlobalThreat  https://t.co/ZinDRLXeIp via @eOrganiser",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5672}, {'text': 'threat', 'score': 0.5122}, {'text': 'nuclear', 'score': 0.4845}]"
222526,"US President Trump spoke about the India-China situation today and said “they’ve got a real problem there” &amp; that his govt is talking to both countries.

Modi who once mocked Dr. Manmohan Singh for speaking to Obama on Pakistan now wants the US to meddle in a bilateral situation. https://t.co/RMHz60pdP9",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.4573}, {'text': 'trump', 'score': 0.3653}, {'text': 'india', 'score': 0.3202}]"
240645,Owaisi questions consensus reached between India-China after Jaishankar-Wang Yi meet https://t.co/uek4V8c7Lp,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5474}, {'text': 'consensus', 'score': 0.4221}, {'text': 'jaishankar', 'score': 0.2861}]"
4145662,"Instead of creating jobs, CPEC has proved to be a debt trap laid by China. Pakistan is continuously ceding its assets to China which is dangerous for its sovereignty.

It’s a grave concern for India too since a debt-ridden nuclear state can prove disastrous for its neighbours.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.3835}, {'text': 'debt', 'score': 0.3494}, {'text': 'dangerous', 'score': 0.1937}]"
201795,#UniteAgainstChina | China suffered 43 casualties at Galwan Valley violent standoff along LAC: ANI Sources https://t.co/QLketoWQaO,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5509}, {'text': 'casualties', 'score': 0.3843}, {'text': 'standoff', 'score': 0.3035}]"
5906854,China builds the biggest bridge in Bangladesh! It was built by a Chinese State owned company not by an Adani. https://t.co/dKXIovFjLJ,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5238}, {'text': 'bangladesh', 'score': 0.472}, {'text': 'bridge', 'score': 0.3961}]"
5331128,"When members including #Vajpayee wanted to have an half an hour debate on the matter, #Nehru flatly refused to have the debate. He said he had written to #china and they should wait till they get a clear revert. He KNEW China has captured #AksaiChin 1.5 year before. https://t.co/XtqZHtWEHH",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.396}, {'text': 'hour', 'score': 0.1322}, {'text': 'revert', 'score': 0.0578}]"
2129465,"World will never forgive China for sending the cruel virus. 

Never.

For snuffing out innocent lives.

For this malicious intent.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5623}, {'text': 'virus', 'score': 0.4215}, {'text': 'forgive', 'score': 0.2027}]"
490786,China is showing 'Red Eyes' to Modi! https://t.co/GwNPeViQHm,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5706}, {'text': 'eyes', 'score': 0.4472}, {'text': 'red', 'score': 0.3319}]"
204941,"Populist leaders constantly accuse media of spreading fake news but what do you say of this - Trump says he spoke to Modi about “raging”border skirmish between China &amp; India. But Indian govt says Modi did not speak to Trump about China. Which is fake news,please?",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.3684}, {'text': 'populist', 'score': 0.2357}, {'text': 'accuse', 'score': 0.1335}]"
7773315,"Remember the Deshbhakts who realised the #China threat early on? Even veterans were trolled, abused, forced to shut up.
This 3yr denial mode allowed more time to the Chinese - who’ve been building frantically on the border - and have every intention of taking more of our land. https://t.co/2pxoTAKSvi https://t.co/CQiIz1UI2h",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.522}, {'text': 'threat', 'score': 0.285}, {'text': 'veterans', 'score': 0.2383}]"
7173351,"I trust only Swamy Sir for authentic news on China.

One &amp; only #ChineseAgentSwamy 🙏🏼",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6826}, {'text': 'trust', 'score': 0.3279}, {'text': 'swamy', 'score': 0.215}]"
48970,China this is on You !!!!,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.802}, {'text': 'you', 'score': 0.3484}, {'text': 'is', 'score': 0.2491}]"
