original_author,year,opposition,other,ruling,polarity_yearly
AudaciousQuest_,2021.0,5026,681,7,-0.9972183588317107
AudaciousQuest_,2022.0,2250,219,5,-0.9955654101995566
AudaciousQuest_,2023.0,29,2,0,-1.0
AvdheshanandG,2020.0,246,73,1427,0.7059175134488942
AvdheshanandG,2021.0,136,164,1684,0.8505494505494505
AvdheshanandG,2022.0,41,31,1464,0.945514950166113
AvdheshanandG,2023.0,39,56,764,0.9028642590286425
AwanishSharan,2020.0,451,26,342,-0.13745271122320302
AwanishSharan,2021.0,910,183,900,-0.0055248618784530384
AwanishSharan,2022.0,966,300,1036,0.03496503496503497
AwanishSharan,2023.0,55,26,66,0.09090909090909091
BASFOriginal,2020.0,30,1,0,-1.0
BASFOriginal,2021.0,4,1,0,-1.0
BASFOriginal,2022.0,8,0,0,-1.0
BASFOriginal,2023.0,3,0,0,-1.0
BBCHindi,2020.0,4776,292,310,-0.8780967361384192
BBCHindi,2021.0,6410,554,458,-0.8666278392545137
BBCHindi,2022.0,3624,435,221,-0.8850455136540962
BBCHindi,2023.0,3317,465,95,-0.9443141852286049
BBTheorist,2020.0,2,1,29,0.8709677419354839
BBTheorist,2021.0,15,12,263,0.8920863309352518
BBTheorist,2022.0,9,6,134,0.8741258741258742
BBTheorist,2023.0,0,2,10,1.0
BDUTT,2020.0,1830,138,131,-0.8663946965833759
BDUTT,2021.0,1359,99,55,-0.9222065063649222
BDUTT,2022.0,274,42,13,-0.9094076655052264
BDUTT,2023.0,107,8,11,-0.8135593220338984
BSEIndia,2020.0,4,0,18,0.6363636363636364
BSEIndia,2021.0,8,14,32,0.6
BSEIndia,2022.0,4,50,30,0.7647058823529411
BSEIndia,2023.0,0,0,3,1.0
BabelePiyush,2020.0,76,6,0,-1.0
BabelePiyush,2021.0,766,63,0,-1.0
BabelePiyush,2022.0,2479,198,4,-0.9967780910189287
BabelePiyush,2023.0,5007,498,7,-0.9972078181092939
BabitaPhogat,2020.0,188,147,2672,0.8685314685314686
BabitaPhogat,2021.0,30,60,872,0.9334811529933481
BabitaPhogat,2022.0,69,66,324,0.648854961832061
BabitaPhogat,2023.0,39,49,481,0.85
BajrangPunia,2020.0,101,18,188,0.30103806228373703
BajrangPunia,2021.0,327,76,459,0.16793893129770993
BajrangPunia,2022.0,40,25,103,0.4405594405594406
BajrangPunia,2023.0,1108,137,43,-0.9252823631624674
BattaKashmiri,2021.0,4,19,155,0.949685534591195
BattaKashmiri,2022.0,20,72,1670,0.9763313609467456
BattaKashmiri,2023.0,6,81,548,0.9783393501805054
BefittingFacts,2020.0,29,130,448,0.8784067085953878
BefittingFacts,2021.0,85,761,2474,0.9335677999218445
BefittingFacts,2022.0,176,104,1683,0.8106508875739645
BefittingFacts,2023.0,65,70,777,0.8456057007125891
BeingSalmanKhan,2020.0,590,50,174,-0.5445026178010471
BeingSalmanKhan,2021.0,534,88,253,-0.3570520965692503
BeingSalmanKhan,2022.0,188,48,136,-0.16049382716049382
BeingSalmanKhan,2023.0,128,27,121,-0.028112449799196786
Being_Humor,2020.0,8,55,764,0.9792746113989638
Being_Humor,2021.0,26,86,2075,0.9752498810090433
Being_Humor,2022.0,13,48,920,0.9721329046087889
Being_Humor,2023.0,4,32,257,0.9693486590038314
Benarasiyaa,2020.0,477,19,24,-0.9041916167664671
Benarasiyaa,2021.0,1224,173,30,-0.9521531100478469
Benarasiyaa,2022.0,698,59,35,-0.9045020463847203
Benarasiyaa,2023.0,108,2,9,-0.8461538461538461
BesuraTaansane,2020.0,6,12,726,0.9836065573770492
BesuraTaansane,2021.0,13,54,2038,0.9873232569478303
BesuraTaansane,2022.0,7,26,1182,0.9882253994953742
BesuraTaansane,2023.0,4,13,337,0.9765395894428153
BhagwaanUvacha,2020.0,5,1,73,0.8717948717948718
BhagwaanUvacha,2021.0,0,3,67,1.0
BhagwaanUvacha,2022.0,0,1,40,1.0
BhagwaanUvacha,2023.0,0,1,3,1.0
Bhairavi_Jani,2020.0,6,4,5,-0.09090909090909091
Bhairavi_Jani,2021.0,91,4,15,-0.7169811320754716
Bhairavi_Jani,2022.0,3,0,13,0.625
Bhairavi_Jani,2023.0,0,0,4,1.0
