original_author,polarity_avg,label_0_5
News18UP,0.13247417842171522,Neutral
News18lokmat,-0.2232963072507586,Neutral
News1IndiaTweet,0.09895626124019567,Neutral
NewsArenaIndia,0.9880967157426598,Pro Ruling
NewsNationTV,0.3286813757056147,Neutral
NewsX,0.42678027683934233,Neutral
NewsroomPostCom,0.7262949624407405,Pro Ruling
Nher_who,-0.96634901843799,Pro OPP
Nidhi,-0.814667148870495,Pro OPP
NidhiKamdarMH,0.9391764540574065,Pro Ruling
NigarNawab,-0.9801111830276311,Pro OPP
Nitin_Rivaldo,0.976253644716944,Pro Ruling
NortheastToday,0.6800850460666195,Pro Ruling
OpIndia_com,0.9617159110349086,Pro Ruling
OpIndia_in,0.9789934906766453,Pro Ruling
Outlookindia,-0.32144114162450044,Neutral
PBNS_India,0.8983620563913552,Pro Ruling
PIBAhmedabad,0.9834791627599484,Pro Ruling
PIBBengaluru,0.9707940371159112,Pro Ruling
PIBFactCheck,0.908426524995505,Pro Ruling
PIBHindi,0.9749622532105942,Pro Ruling
PIBHomeAffairs,0.9469858960941311,Pro Ruling
PIBHyderabad,0.8550771115429043,Pro Ruling
PIBJaipur,0.9598206957555719,Pro Ruling
PIBMumbai,0.9623345251544015,Pro Ruling
PIBTvpm,0.8581035722848238,Pro Ruling
PIB_Guwahati,0.968483052135583,Pro Ruling
PIB_India,0.9796648602290735,Pro Ruling
PIB_Panaji,0.9977924944812362,Pro Ruling
PJkanojia,-0.7251478552975186,Pro OPP
PMOIndia,0.9671835526996857,Pro Ruling
PTI_News,-0.14709278832120837,Neutral
PTTVOnlineNews,-0.5737825367071637,Pro OPP
PadmajaJoshi,0.6480308462256983,Pro Ruling
Pankaj___Sharma,-0.9747803988961997,Pro OPP
ParveenKaswan,0.34812670988394495,Neutral
PibLucknow,0.9548879316036178,Pro Ruling
PilotSuryasen,-0.9976567076742824,Pro OPP
PoliticalKida,0.9607931274318434,Pro Ruling
PoojaB1972,-0.9590477591897537,Pro OPP
Poojameena110,-0.9463274405438201,Pro OPP
PragyaLive,-0.9332003728700241,Pro OPP
PrashantKishor,-0.5348466654636027,Pro OPP
PrashantTandy,-0.987792130447283,Pro OPP
PrinceArihan,0.9257603496886253,Pro Ruling
Profdilipmandal,-0.43138790199917393,Neutral
Pronamotweets,0.9634022281219761,Pro Ruling
Pun_Starr,-0.9692625896374635,Pro OPP
QuintHindi,-0.8718794500035385,Pro OPP
RBI,0.67126931419508,Pro Ruling
RNTata2000,0.36644444344242333,Neutral
RSSorg,0.9327154304013248,Pro Ruling
RShivshankar,0.8901435879526253,Pro Ruling
RachnaUpadhya,0.650232286510482,Pro Ruling
RadharamnDas,0.976351415404394,Pro Ruling
RailMinIndia,0.9285853582603987,Pro Ruling
RaisinaSeries,-0.37027350316824004,Neutral
RajCMO,-0.9845955044932568,Pro OPP
RajGovOfficial,-0.9967570549762061,Pro OPP
RajatSharmaLive,0.8800282340861717,Pro Ruling
RajeevKSachan,0.9564768039300465,Pro Ruling
Rajeev_GoI,0.9043172332478823,Pro Ruling
RajivKumar1,0.8463049824305615,Pro Ruling
RakeshTikaitBKU,-0.9442513170585526,Pro OPP
Ram_Guha,-0.9711860086483786,Pro OPP
RamanDhaka,-0.7722784992784992,Pro OPP
RanaAyyub,-0.9535862979863503,Pro OPP
RanvirShorey,0.7447750820028933,Pro Ruling
RashmiDVS,0.9826416095263838,Pro Ruling
RatanSharda55,0.9275754165009562,Pro Ruling
Rautparody61,-0.978138850742853,Pro OPP
Ravalkalpesh_s,-0.9942493271839031,Pro OPP
RavindraGautam_,-0.8588383838383838,Pro OPP
RealHistoryPic,-0.9891350289649686,Pro OPP
ReallySwara,-0.957526388610203,Pro OPP
Rekhta,-0.8192973075399159,Pro OPP
RenukaJain6,0.9221492830931033,Pro Ruling
Republic_Bharat,0.8870093960173757,Pro Ruling
Reuters,-0.4997207964031536,Neutral
RichaChadha,-0.8476994795580418,Pro OPP
Riteishd,-0.7862560676417126,Pro OPP
RituRathaur,0.9724535210704389,Pro Ruling
RoflGandhi_,-0.9467036498182277,Pro OPP
RubikaLiyaquat,0.7678946329617631,Pro Ruling
SChoudharyNews,-0.9814549253217213,Pro OPP
SRiitu,-0.9921323930156816,Pro OPP
SVTMumbai,0.46742413314082676,Neutral
SaamanaOnline,-0.8915557846076961,Pro OPP
SadhguruJV,0.7999663827023108,Pro Ruling
SakalMediaNews,-0.2966034657614443,Neutral
SaketGokhale,-0.9599269157984727,Pro OPP
SakshiMalik,-0.13924104988902827,Neutral
Sanjay_Dixit,0.97105087794696,Pro Ruling
SanjeevSanskrit,0.9275185292497442,Pro Ruling
SarkarnamaNews,-0.4865696735129294,Neutral
Sassy_Hindu,0.974930906188327,Pro Ruling
Saurabh_Unmute,-0.9350375229729551,Pro OPP
Secretary_MoHUA,0.9075283446712018,Pro Ruling
ShamikaRavi,0.7756378833633044,Pro Ruling
Shanktan,0.9487195613212976,Pro Ruling
ShefVaidya,0.9583688665451365,Pro Ruling
Shehzad_Ind,0.8885582176427396,Pro Ruling
ShekharGupta,-0.597262525763242,Pro OPP
ShishirGoUP,0.9016792569672034,Pro Ruling
ShivAroor,0.6866621606344585,Pro Ruling
ShivamdixitInd,0.9608285485949531,Pro Ruling
ShivaniV2901,-0.7852255455295799,Pro OPP
ShriRamTeerth,0.9327126531153302,Pro Ruling
ShyamMeeraSingh,-0.9308439942762153,Pro OPP
ShyamRangeela,-0.9584195824043228,Pro OPP
Sidbakaria,0.9657169897277762,Pro Ruling
SinghPramod2784,0.9661700225202003,Pro Ruling
SirRavishFC,-0.9215287116911023,Pro OPP
SonuSood,-0.521716013441472,Pro OPP
Spoof_Junkey,0.9725337481519115,Pro Ruling
SrBachchan,0.40583974280056967,Neutral
SreenivasanJain,-0.967414862052693,Pro OPP
Starboy2079,0.864107292450078,Pro Ruling
SubuhiKhan01,0.9107053574900144,Pro Ruling
SudarshanNewsTV,0.9735572773826026,Pro Ruling
SudheenKulkarni,-0.9589521239311332,Pro OPP
Sudhir_mish,0.9264668709078754,Pro Ruling
Suhelseth,0.8257736590541201,Pro Ruling
SunainaHoley,0.9008121691503135,Pro Ruling
SunilAmbekarM,0.8853320520162001,Pro Ruling
Supriya23bh,-0.9963382981358253,Pro OPP
SureshChavhanke,0.9472063280306344,Pro Ruling
SurrbhiM,-0.9944464473056956,Pro OPP
SushantBSinha,0.9179113807432596,Pro Ruling
SushantSin,-0.9908169572357312,Pro OPP
SwarajyaMag,0.9216939927248358,Pro Ruling
SwatiJaiHind,-0.9316443435648187,Pro OPP
SwatiSaxena1231,-0.9984802431610942,Pro OPP
SwetaSinghAT,0.8640834881154271,Pro Ruling
TNNavbharat,0.40216525870661207,Neutral
TOIHyderabad,-0.5659493505942532,Pro OPP
TOIIndiaNews,-0.34582686675587426,Neutral
TOIMumbai,-0.5211667273108137,Pro OPP
TV9Bharatvarsh,-0.13889602822378747,Neutral
TV9Marathi,-0.4438379008498242,Neutral
TVMohandasPai,0.9317730560627109,Pro Ruling
TarekFatah,0.9735691837341885,Pro Ruling
TelanganaCMO,-0.970421734256947,Pro OPP
ThanthiTV,-0.3456335524421659,Neutral
TheAtulMishra,0.8963419913419913,Pro Ruling
TheDeepak2020In,0.9544692634593333,Pro Ruling
TheDeshBhakt,-0.9374787915128862,Pro OPP
TheHansIndiaWeb,-0.4381901965030044,Neutral
TheLallantop,-0.8221908163067334,Pro OPP
TheMuslimsofIN,-0.9833333333333334,Pro OPP
TheNewIndian_in,0.06884505254186817,Neutral
ThePlacardGuy,0.8833062770562771,Pro Ruling
ThePrintHindi,-0.8590731179144551,Pro OPP
ThePrintIndia,-0.6022473834987547,Pro OPP
TheQuint,-0.850296740498049,Pro OPP
TheSamirAbbas,-0.2575541262910043,Neutral
The_Mooknayak,-0.8681187544755761,Pro OPP
TimesNow,0.3533866338856315,Neutral
TransportDelhi,-0.9966887417218543,Pro OPP
TribalAffairsIn,0.9647053908680507,Pro Ruling
TribalArmy,-0.9326073962618378,Pro OPP
TrulyMonica,0.9358384775355494,Pro Ruling
TulsidasBhoite,-0.8958333333333334,Pro OPP
TusharG,-0.9663881894649532,Pro OPP
UNinIndia,0.395425779059521,Neutral
UPGovt,0.914753337807371,Pro Ruling
UPVidhansabha,0.7548102180577705,Pro Ruling
UdayMahurkar,0.9140031880511117,Pro Ruling
UnSubtleDesi,0.9070097175866733,Pro Ruling
Uppolice,0.6998115796039498,Pro Ruling
UrmileshJ,-0.9927644922466305,Pro OPP
UtkarshSingh_,-0.8336023387674755,Pro OPP
VHPDigital,0.9361881344926207,Pro Ruling
VPSecretariat,0.8255403101376724,Pro Ruling
Vakeel_Sb,-1.0,Pro OPP
VandanaSsingh,-0.9794691672344582,Pro OPP
VarunKrRana,0.9120308358325007,Pro Ruling
VijayVst0502,0.9597766649909512,Pro Ruling
VikasPronamo,0.967032967032967,Pro Ruling
VikasSaraswat,0.9258778095733847,Pro Ruling
VinodSharmaView,-0.9347730862590551,Pro OPP
VishalDadlani,-0.9622950008721982,Pro OPP
VisitJharkhand,-0.9005682448053244,Pro OPP
VlKASPR0NAM0,0.9908198802518485,Pro Ruling
Voice_For_India,0.9517198774703296,Pro Ruling
WIONews,0.6142845581095269,Pro Ruling
WRICitiesIndia,-0.047619047619047616,Neutral
WasimAkramTyagi,-0.9856628922464489,Pro OPP
WasiuddinSiddi1,-0.9963558682905924,Pro OPP
WeTheNagas,0.06569742734791278,Neutral
WeUttarPradesh,-0.062276310016778365,Neutral
WithCongress,-0.998819882164868,Pro OPP
XpressHyderabad,-0.5242393764143827,Pro OPP
YRDeshmukh,0.8108574653241855,Pro Ruling
YouthKiAwaaz,-0.7134098642159825,Pro OPP
ZEEUPUK,0.5514966742274932,Pro Ruling
ZakirAliTyagi,-0.9843814207707362,Pro OPP
Zebaism,-0.9752603492791876,Pro OPP
ZeeBiharNews,-0.20126598835316892,Neutral
ZeeMPCG,-0.17718612350452845,Neutral
ZeeNews,0.7039173111487969,Pro Ruling
ZeeNewsEnglish,0.5263851880023613,Pro Ruling
ZeePunjabHH,-0.3229717264162738,Neutral
Zee_Hindustan,0.6244804211056848,Pro Ruling
_AKKaushik,0.9697173492335196,Pro Ruling
_DigitalIndia,0.945168196146457,Pro Ruling
_Sweet_Parul_,-0.9967271600172091,Pro OPP
_garrywalia,-0.9549455259168675,Pro OPP
_lokeshsharma,-0.9975119551180616,Pro OPP
_pallavighosh,-0.40815649891960276,Neutral
_prashantkadam,-0.8865347571605251,Pro OPP
_sabanaqvi,-0.9383898802017578,Pro OPP
_sayema,-0.9265892750919233,Pro OPP
aajtak,-0.17445434604099064,Neutral
aarohi_vns,0.9932278425528185,Pro Ruling
aashishsy,-0.9925491200082079,Pro OPP
abdullah_0mar,0.9222805227021906,Pro Ruling
abhijitmajumder,0.8748718785808534,Pro Ruling
abhinandita_m,-0.9957888341246944,Pro OPP
abhisar_sharma,-0.959470901172846,Pro OPP
abhish18,0.8522727272727273,Pro Ruling
abpmajhatv,-0.7374653757216872,Pro OPP
abufarhanazmi,-0.9827586206896551,Pro OPP
actormanojjoshi,0.9325663669995606,Pro Ruling
adarpoonawalla,0.5694262768355591,Pro Ruling
adgpi,0.8027622060786394,Pro Ruling
advmonikaarora,0.9763512045449821,Pro Ruling
afiindia,0.8433829150098532,Pro Ruling
airnews_Chennai,0.7463449776337702,Pro Ruling
airnews_hyd,0.3870628422470652,Neutral
airnewsalerts,0.8571687004106929,Pro Ruling
ajaishukla,-0.920268305152796,Pro OPP
ajaydevgn,0.5109709931886446,Pro Ruling
ajeetbharti,0.9618478510687198,Pro Ruling
ajinkyarahane88,-0.08224470164768671,Neutral
ajitanjum,-0.9492814601294878,Pro OPP
ajitdatta,0.9017263517831982,Pro Ruling
akhileshsharma1,0.8217569181637623,Pro Ruling
akhterzaidi,-0.9964967544864453,Pro OPP
akshaykumar,0.7999120780715531,Pro Ruling
alamgirizvi,-0.9966676720769124,Pro OPP
alishan_jafri,-0.9103097134444834,Pro OPP
alok_bhatt,0.9433624166693542,Pro Ruling
alva_margaret,-0.9595000875673783,Pro OPP
ambedkariteIND,-0.9438101998012218,Pro OPP
